SienaReference,LegNo,SienaCommonRef,GroupRefNo,DealType,FullDealType,FullSubDealType,Broker,Status,Traded,TradeDate,StartDate,MaturityDate,ContractNumber,ExternalReference,DealingInterface,DealtAmount,AgainstAmount,DealtCcy,AgainstCcy,MajorCcy,MinorCcy,AllInRate,AllInRate2,ABSRate,SalesMargin,SalesMargin2,ChlMargin,Book,CounterBook,ParentContractNumber,MktRate,MktRate2,FixingBasis,SettleCcy,SettlementRate,DateTime,CallGroup,DmIndicator,RefIrType,RefIRType2,RefIrPeriod,RefIrMargin,RefIRMargin2,OptionDate,QuoteBasis,MktPoints,Direction,NpvDate,NpvRate,InterestFrequency,InterestAction,InterestStrategy,InterestBasis,InterestBasis2,MandatedUser,CustomerSienaView,CustomerExternalView,SienaDealer,DealOwner,OriginUser,EditedByUser,DealOwnerMnemonic,UTCOriginTime,UTCUpdateTime,MarginTrading,MmLegSettleDate,MmLegMargin,MmLegAllInRate,SwapPoints,SpotDate,SpotRate,MktSpotRate,SpotSalesMargin,SpotChlMargin,RerouteCcy,MajSideSpotDate,MajSideSpotRate,MajSideMktSpotRate,MajSideTrueSpotRate,MajSideMktTrueSpotRate,MajSideSpotSalesMargin,MajSideSpotChMargin,MinSideSpotDate,MinSideSpotRate,MinSideMktSpotRate,MinSideTrueSpotRate,MinSideMktTrueSpotRate,MinSideSpotSalesMargin,MinSideSpotChlMargin,MajSideDate,MajSideRate,MajSideMktRate,MajSideSalesMargin,MajSideChlMargin,MinSideDate,MinSideRate,MinSideMarketRate,MinSideSalesMargin,MinSideChlMargin,PayInstruction,ReceiptInstruction,CustomerPayInstruction,CustomerReceiptInstruction,BackOfficeNotes,customerStatementNotes,NotesMargin,RequestedBy,EditReason,EditOtherReason,LimitOrderType,LimitOrderStatus,LimitOrderExpiryDate,LimitOrderExpiryTime,LimitOrderUTCExpiryTime,LimitOrderRate,LimitOrderTPRate,LimitOrderSLRate,LimitOrderOwner,LimitOrderCustodian,LimitOrderPartialFillOK,NIName,NICleanPrice,NIDirtyPrice,NIYield,NIClearingSystem,Acceptor,NIDiscount,FutureExchangeCode,FutureCurrIsoCode,FutureDeliveryMth,FutureContractCode,FutureLots,FastPay,PaymentFee,PaymentFeePolicy,PaymentReason,Hedged,Premium,PremiumQuote,PremiumCurrency,PremiumRate,PremiumPercent,PremiumDate,StrikePrice,Exercised,OptionExpiryDate,OptionExercisedDate,NoticeDays,AlternativeCurrency,PaymentDate,SettlementDate,FixingDate,SpotBook,MajSpotBook,MinSpotBook,ForwardBook,MajFwrdBook,MinFwrdBook,MMBook,MajMMBook,MinMMBook,RepoFundingRate,RepoMargin,RepoSafe,RepoInitialFloatingCouponRate,UTI,EditVersion,BrokeragePercentage,BrokerageCurrency,BrokerageAmount,BrokerageDate,AccountName,AccountNumber,CashBalance,DebitFrequency,CreditFrequency,FeeAmount,FeePercentage,SettAmtOutstanding,LedgerBalance,ManuallyQuoted,Portfolio,InternalId,InternalDeleted,ISIN,Waiver,EURAmount,EUROtherAmount,LEI,Equity,Shares,ResidualShares,StockExchange,ShareHolder
000451,1,000451,NULL,MD,NULL,NULL,NULL,Quote,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50689,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000708,1,000708,NULL,MD,NULL,NULL,NULL,Confirmed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60942,2017-11-30 12:46:39.1466667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001847,1,001847,NULL,MD,NULL,NULL,NULL,Confirmed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131967,2018-06-27 08:46:08.8633333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001835,1,001835,NULL,Acct,Account,Account,Bank,Confirmed,NULL,2018-05-15,2018-05-15,NULL,001953,654321GBP,Contact Manager,0,NULL,GBP,NULL,NULL,NULL,0,0,NULL,0,0,NULL,Spot,NULL,NULL,0,0,NULL,NULL,NULL,2018-07-03 14:44:55.0000000,NULL,NULL,Fixed,Fixed,NULL,NULL,NULL,NULL,NULL,NULL,DEPOSIT,NULL,NULL,Undefined,NULL,NULL,Actual 365,Actual 365,Beth Wittaker,VirginGrp LON,NULL,NULL,SuperMWT,SuperMWT,SuperMWT,MT1,2018-06-20 15:14:14,2018-06-20 15:14:37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213800OP8IQALEBOMT88001953,18,NULL,NULL,NULL,NULL,Margin Account,654321GBP,1333.33,Undefined,Undefined,NULL,0,NULL,1333.33,Not Applicable,NULL,131958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001829,1,001829,NULL,Acct,Account,Account,SAXO,Confirmed,NULL,2018-05-15,2018-05-17,NULL,001945,"SAXO 0000 0012 3456 78 ",Contact Manager,0,NULL,AUD,NULL,NULL,NULL,0,0,NULL,0,0,NULL,Spot,NULL,NULL,0,0,NULL,NULL,NULL,2018-07-03 14:44:55.0000000,NULL,NULL,Fixed,Fixed,NULL,NULL,NULL,NULL,NULL,NULL,DEPOSIT,NULL,NULL,Undefined,NULL,NULL,Actual 360,Actual 360,Lone Fønss Schrøder,SAXO      WEB,NULL,NULL,SuperMWT,SuperMWT,NULL,MT1,2018-06-20 14:59:13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAXOWEB001945,16,NULL,NULL,NULL,NULL,FX Company Ltd AUD,12345678,0,Undefined,Undefined,NULL,0,NULL,0,Not Applicable,NULL,131952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001836,1,001836,NULL,Acct,Account,Account,Bank,Confirmed,NULL,2018-05-15,2018-05-15,NULL,001959,654321USD,Contact Manager,0,NULL,USD,NULL,NULL,NULL,0,0,NULL,0,0,NULL,Spot,NULL,NULL,0,0,NULL,NULL,NULL,2018-07-03 14:44:56.0000000,NULL,NULL,Fixed,Fixed,NULL,NULL,NULL,NULL,NULL,NULL,DEPOSIT,NULL,NULL,Undefined,NULL,NULL,Actual 360,Actual 360,Andrew Jones,VirginGrp LON,NULL,NULL,SuperMWT,SuperMWT,NULL,MT1,2018-06-20 15:16:15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213800OP8IQALEBOMT88001959,16,NULL,NULL,NULL,NULL,Margin Account,654321USD,0,Undefined,Undefined,NULL,0,NULL,0,Not Applicable,NULL,131959,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001830,1,001830,NULL,Acct,Account,Account,SAXO,Confirmed,NULL,2018-05-15,2018-05-17,NULL,001946,"SAXO 0000 0012 3499 99 ",Contact Manager,0,NULL,CAD,NULL,NULL,NULL,0,0,NULL,0,0,NULL,Spot,NULL,NULL,0,0,NULL,NULL,NULL,2018-07-03 14:44:55.0000000,NULL,NULL,Fixed,Fixed,NULL,NULL,NULL,NULL,NULL,NULL,DEPOSIT,NULL,NULL,Undefined,NULL,NULL,Actual 360,Actual 360,Lone Fønss Schrøder,SAXO      WEB,NULL,NULL,SuperMWT,SuperMWT,NULL,MT1,2018-06-20 15:00:34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAXOWEB001946,16,NULL,NULL,NULL,NULL,FX Company Ltd CAD,12349999,0,Undefined,Undefined,NULL,0,NULL,0,Not Applicable,NULL,131953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001831,1,001831,NULL,Acct,Account,Account,SAXO,Confirmed,NULL,2018-05-15,2018-05-17,NULL,001948,SAXO 0000 0012 3477 77,Contact Manager,0,NULL,DKK,NULL,NULL,NULL,0,0,NULL,0,0,NULL,Spot,NULL,NULL,0,0,NULL,NULL,NULL,2018-07-03 14:44:55.0000000,NULL,NULL,Fixed,Fixed,NULL,NULL,NULL,NULL,NULL,NULL,DEPOSIT,NULL,NULL,Undefined,NULL,NULL,Actual 360,Actual 360,Lone Fønss Schrøder,SAXO      WEB,NULL,NULL,SuperMWT,SuperMWT,SuperMWT,MT1,2018-06-20 15:01:20,2018-06-20 15:02:31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAXOWEB001948,17,NULL,NULL,NULL,NULL,FX Company Ltd DKK,12347777,0,Undefined,Undefined,NULL,0,NULL,0,Not Applicable,NULL,131954,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001837,1,001837,NULL,Acct,Account,Account,Bank,Confirmed,NULL,2018-05-15,2018-05-15,NULL,001960,654321EUR,Contact Manager,0,NULL,EUR,NULL,NULL,NULL,0,0,NULL,0,0,NULL,Spot,NULL,NULL,0,0,NULL,NULL,NULL,2018-07-03 14:44:56.0000000,NULL,NULL,Fixed,Fixed,NULL,NULL,NULL,NULL,NULL,NULL,DEPOSIT,NULL,NULL,Undefined,NULL,NULL,Actual 360,Actual 360,Beth Wittaker,VirginGrp LON,NULL,NULL,SuperMWT,SuperMWT,NULL,MT1,2018-06-20 15:17:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213800OP8IQALEBOMT88001960,16,NULL,NULL,NULL,NULL,Margin Account,654321EUR,0,Undefined,Undefined,NULL,0,NULL,0,Not Applicable,NULL,131960,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001832,1,001832,NULL,Acct,Account,Account,Bank,Confirmed,NULL,2018-05-15,2018-05-15,NULL,001956,123456GBP,Contact Manager,0,NULL,GBP,NULL,NULL,NULL,0,0,NULL,0,0,NULL,Spot,NULL,NULL,0,0,NULL,NULL,NULL,2018-07-03 14:44:55.0000000,NULL,NULL,Fixed,Fixed,NULL,NULL,NULL,NULL,NULL,NULL,DEPOSIT,NULL,NULL,Undefined,NULL,NULL,Actual 365,Actual 365,Richard Branson,VirginGrp LON,NULL,NULL,SuperMWT,SuperMWT,SuperMWT,MT1,2018-06-20 15:11:43,2018-06-20 15:15:01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213800OP8IQALEBOMT88001956,18,NULL,NULL,NULL,NULL,Trading Account,123456GBP,6533.34,Undefined,Undefined,NULL,0,NULL,6533.34,Not Applicable,NULL,131955,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
