MandatedUserKeyCounterpartyFirm,MandatedUserKeyCounterpartyCentre,MandatedUserKeyUserName,Type,TelephoneNumber,EmailAddress,SystemUser,Notify,Active,LEI,FirstName,Surname,DateOfBirth,Postcode,NationalIDNo,PassportNo,Country,InternalId,InternalDeleted,Ident,idComposite,GDPRReviewDate
ABC,EST,Akulina Krylova,Both,620 9209,AkulinaKrylova@jourrapide.com,,0,1,529900LL1DCD2CTMGU59,Akulina,Krylova,1960-03-04,13614,3010955010,78378662,EST,115,NULL,52,ABC!EST,2018-07-30
ABC,EST,David Healer (Dealer),Undefined,,,,0,0,,,,NULL,,,,,118,2017-12-12 13:21:37.8233333,55,ABC!EST,2019-07-10
ABC,EST,David Healer (Sales Desk),Undefined,N/A,david.healer@bank.com,d.healer@bank.com,0,1,213800JD2L89GGG7LF07,David,Healer,1983-01-28,10145,JN 21 03 71 D,78528568,GBR,114,NULL,55,ABC!EST,2019-07-10
ABC,EST,Jaromir Voronoff,Both,696 1405,JaromirVoronoff@jourrapide.com,,0,1,529900LL1DCD2CTMGU59,Jaromir,Voronoff,1952-12-20,74313,3759771627,71556439,EST,113,2018-04-25 11:11:17.9866667,51,ABC!EST,2019-06-10
ABC,NYK,Jo Jones,Undefined,,matt.townsend@eurobase.com,,0,1,529900RBO6AZKV6QZU52,Jo,Jones,NULL,,"5497 1469 6528 4649 ",,GBR,68,2017-12-12 13:21:31.8700000,27,ABC!NYK,NULL
AIRNZ,AUC,Jonathan Mason,Undefined,,jmason@airnz.co.nz,,0,1,,,,1961-02-03,,,,,69,NULL,0,AIRNZ!AUC,NULL
AIRNZ,AUC,Linda Jenkinson,Undefined,,,,0,1,,,,1992-02-14,,,,,70,NULL,1,AIRNZ!AUC,NULL
AIRNZ,AUC,Sales Desk,Both,,sales@bank.com,eT-internal-OBO,1,1,213800S8K5XZJ2K6OB13,Sales,Desk,1963-01-01,EC1M 4td,XXXXXXXX,829844949,GBR,110,NULL,49,AIRNZ!AUC,NULL
AIRNZ,NYK,Jo Jones,Undefined,,matt.townsend@eurobase.com,,0,1,529900RBO6AZKV6QZU52,Jo,Jones,NULL,,"5497 1469 6528 4649 ",,GBR,112,NULL,27,AIRNZ!NYK,NULL
ALBLRUGBY,CAN,Ben Franks,Undefined,,,,0,0,,,,1988-02-05,,,,,71,NULL,2,ALBLRUGBY!CAN,NULL
