key.counterparty.firm,key.counterparty.centre,key.name,currency,fullName,address,phoneNo,country,bic,iban,accountNo,fedWireNo,sortCode,bankName,bankPinCode,bankAddress,reason,bankSettlementAcct,intermediaryBankName,intermediaryBankAddress,intermediaryBankSwiftBic,intermediaryAcctNo,user,status
C-0117,CYP,EUR.0000117,EUR,EUR Account (EUR.0000117),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000117,,,ANZ Bank,,ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,Account Transfer,N,,,,,airnzclerk,Add
C-0118,CYP,EUR.0000118,EUR,EUR Account (EUR.0000118),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000118,,,ANZ Bank,,ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1142,Account Transfer,N,,,,,airnzclerk,Add
C-0119,CYP,EUR.0000119,EUR,EUR Account (EUR.0000119),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000119,,,ANZ Bank,,ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1142,Account Transfer,N,,,,,airnzclerk,Add
C-0125,CYP,EUR.0000125,EUR,EUR Account (EUR.0000125),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000125,,,ANZ Bank,,ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1142,Account Transfer,N,,,,,airnzclerk,Add
C-0134,CYP,EUR.0000134,EUR,EUR Account (EUR.0000134),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000134,,,ANZ Bank,,ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1142,Account Transfer,N,,,,,airnzclerk,Add
C-0160,CYP,EUR.0000160,EUR,EUR Account (EUR.0000160),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000160,,,ANZ Bank,,ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1142,Account Transfer,N,,,,,airnzclerk,Add
C-0161,CYP,EUR.0000161,EUR,EUR Account (EUR.0000161),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000161,,,ANZ Bank,,ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1142,Account Transfer,N,,,,,airnzclerk,Add
C-0164,CYP,EUR.0000164,EUR,EUR Account (EUR.0000164),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000164,,708090,ANZ Bank,,BOURNEMOUTH,Advertising,N,,,,,airnzclerk,Add
C-0200,CYP,EUR.0000200,EUR,EUR Account (EUR.0000200),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000200,543214512122,,ANZ Bank,,"First National Banking, Main St USA",Aviation Insurance,N,,,,,airnzclerk,Add
C-0219,CYP,EUR.0000219,EUR,EUR Account (EUR.0000219),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000219,543214512122,,ANZ Bank,,"First National Banking, Main St USA",Goods & Services Received,N,,,,,airnzclerk,Add
C-0237,CYP,EUR.0000237,EUR,EUR Account (EUR.0000237),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000237,543214512122,,ANZ Bank,,"First National Banking, Main St USA",test Payee,N,,,,,airnzclerk,Add
C-0238,CYP,EUR.0000238,EUR,EUR Account (EUR.0000238),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000238,543214512122,,ANZ Bank,,"First National Banking, Main St USA",Flight Systems Software Licence,N,,,,,airnzclerk,Add
C-0241,CYP,EUR.0000241,EUR,EUR Account (EUR.0000241),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000241,543214512122,,ANZ Bank,,"First National Banking, Main St USA",Cabin Refit Programme,N,,,,,airnzclerk,Add
C-0243,CYP,EUR.0000243,EUR,EUR Account (EUR.0000243),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000243,543214512122,,ANZ Bank,,"First National Banking, Main St USA",Electity Bill,N,,,,,airnzclerk,Add
C-0254,CYP,TRY.0000254,TRY,TRY Account (TRY.0000254),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000254,543214512122,,ANZ Bank,,"First National Banking, Main St USA",Maintenance and Engineering,N,,,,,airnzclerk,Add
C-0256,CYP,EUR.0000256,EUR,EUR Account (EUR.0000256),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000256,543214512122,,ANZ Bank,,"First National Banking, Main St USA",Overseas Maintenance and Engineering,N,,,,,airnzclerk,Add
C-0260,CYP,EUR.0000260,EUR,EUR Account (EUR.0000260),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000260,,600909,ANZ Bank,,BOURNEMOUTH,Software Licence,N,,,,,airnzclerk,Add
C-0261,CYP,EUR.0000261,EUR,EUR Account (EUR.0000261),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000261,,,ANZ Bank,,,,,,,,,,
C-0264,CYP,TRY.0000264,TRY,TRY Account (TRY.0000264),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000264,,,ANZ Bank,,,,,,,,,,
